Contributors:,Sean,Foster,Henrique,Marcel,Louie,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Timestamp,Control Intuition,Mechanics,Momentum,Enemy Interaction,Enemy Threat,Visual Clarity,Level Design,Incentives,Replayability,Narrative Engagement,General Difficulty,Where did your experience fall on the Pacing vs. Precision matrix?,Where did your experience fall on the Agency vs. Guidance matrix?,"General Experience: On a scale of 1–10, how fun was the experience?",General Experience: Why did you give that score?,Highlights: What did you enjoy most about DeadEx?,"Frustration Points: Were there any specific enemies, jumps, or areas that felt unfair or frustrating?","Aesthetics & Cohesion: How did you feel about the graphics? Do the story and visual style match the gameplay ""feel""?","Movement Refinement: If you could change one thing about the character's movement, what would it be?","Game Refinement: If you could change one thing about DeadEx: Dungeon Delivery, what would it be?"
4/8/2026 17:26:01,4 – Agree,2 – Disagree,1 – Strongly Disagree,1 – Strongly Disagree,4 – Agree,4 – Agree,2 – Disagree,3 – Neutral,2 – Disagree,4 – Agree,2 – Disagree,Fast Pacing + Low Precision (Fast & forgiving timing),Low Player Agency + Clear Goals (I felt restricted but goals were clear),6,"It was fun to navigate the obstacles and avoid the ghost enemies. The theme, dialogue and charagters were fun and engaging","The characters, dialogue, and general theme/idea","the ice maze over an open pit raised my blood pressure by 1000%. I also struggled with package throwing and recall, especially in the tutorial section. ","The turrets and red balls felt a little out of place and could be themed a bit more appropriately. A lot of the game also didn't really match the ""underworld"" theme/aestetic. Why are the ghosts out to get me? ",recall was tough to navigate and I only used it when I had to. I didn't even realize I could use it against enemies. ,Make it more dungeony in aestetic
4/9/2026 19:18:05,4 – Agree,4 – Agree,3 – Neutral,1 – Strongly Disagree,5 – Strongly Agree,5 – Strongly Agree,5 – Strongly Agree,4 – Agree,4 – Agree,4 – Agree,4 – Agree,Slow Pacing + High Precision (Slow & required exact timing),High Player Agency + Vague Goals (I chose my path but goals were unclear),8,It was fun to try and figure out mechanics and it was easy to make your own fun with the controls,The writing was fun. It sets the tone,It was difficult to figure out the grab package and keeping momentum. The image actually explained it really good. I also didn't know the package mechanics going into that space.,the graphics were good. fit the theme,The mechanics felt good. I liked the hidden mechanic. The ice physics were great.,simple text explanations for basic mechanics. Like press e to pickup package when you get close. hold r to recall. space to jump. It would make learning the more complex combos easier later on.
4/11/2026 10:26:24,4 – Agree,4 – Agree,2 – Disagree,2 – Disagree,3 – Neutral,4 – Agree,4 – Agree,3 – Neutral,3 – Neutral,3 – Neutral,4 – Agree,Slow Pacing + High Precision (Slow & required exact timing),High Player Agency + Vague Goals (I chose my path but goals were unclear),7,"It was a fun couple of levels, but they felt too short and I want to defeat all enemies, but throwing the package was very precise with keyboard.","Graphics, story and theme overall. ",Recall momentum is a little tough to time.,"Yes, this is the most spot on thing for me.",More leeway on momentum mechanic,Make enemies more interesting to defeat
4/11/2026 10:34:30,5 – Strongly Agree,4 – Agree,4 – Agree,1 – Strongly Disagree,2 – Disagree,4 – Agree,5 – Strongly Agree,1 – Strongly Disagree,2 – Disagree,5 – Strongly Agree,4 – Agree,Fast Pacing + Low Precision (Fast & forgiving timing),High Player Agency + Clear Goals (I chose my path & goals were clear),9,"I thought it was very fun overall, I liked the idea of using package to make things faster, and the game is very cute.",I loved the design and the little jokes in dialogue.,"Turrets fire a little too fast, so I was confused when the screen was full of projectiles.","Loved it, 10/10 for me",Would be nice and familiar to have a double jump,"Make enemies more rewarding to defeat, I just didn't see a reason for that instead of passing right through them"
4/11/2026 20:26:05,5 – Strongly Agree,4 – Agree,5 – Strongly Agree,1 – Strongly Disagree,5 – Strongly Agree,3 – Neutral,4 – Agree,2 – Disagree,3 – Neutral,3 – Neutral,4 – Agree,Fast Pacing + Low Precision (Fast & forgiving timing),High Player Agency + Vague Goals (I chose my path but goals were unclear),8,"Recall mechanic is bussin, not fun to find out that in the first place. ","Recall mechanic was fun, outside of that there wasn't much more to experience.","First jump with recall, not knowing it was possible. ","the first half of the game works well, Post office and Ice level feel like they are ""expansions"" to the underworld theme.","I think movement is perfect, other things can be improved.",Theres no sound - personally I would love a little jingle when you pick up collectible
4/12/2026 11:37:25,4 – Agree,5 – Strongly Agree,5 – Strongly Agree,2 – Disagree,3 – Neutral,5 – Strongly Agree,4 – Agree,5 – Strongly Agree,4 – Agree,5 – Strongly Agree,3 – Neutral,Fast Pacing + Low Precision (Fast & forgiving timing),Low Player Agency + Clear Goals (I felt restricted but goals were clear),7,"The mechanics seem like they have a lot of room for growth. In its current state, it needs more to do and more types of puzzles to solve with the current mechanics. ",Flying with the box.,An option menu with a list of controls would be nice. Perhaps included in the first level. I didn't know how to run away from the patrol's at first. After I learned how to sprint and fly with the package the enemies seemed easy to navigate. ,The style and story feel like they have good cohesion. The menu choices and character/map designs blend together smoothly.,"Momentum on ice completely stops when you jump allowing you to exploit the hard mechanic of the map (the slipping). This should probably be tweaked to feel more ""realistic"" to jumping while on ice. ",Adding more mechanics with the box and puzzles. Levels could be longer and more challenging. Progression in the form of shop items or abilities and boss fights would be entertaining.
4/12/2026 14:02:19,2 – Disagree,1 – Strongly Disagree,2 – Disagree,3 – Neutral,4 – Agree,4 – Agree,4 – Agree,4 – Agree,3 – Neutral,4 – Agree,3 – Neutral,Fast Pacing + Low Precision (Fast & forgiving timing),Low Player Agency + Vague Goals (I felt restricted & goals were unclear),5,I think the comands very dificult ,The history,Jump,Its okay and agradable,Momentum ,Mechanics
4/12/2026 15:22:03,4 – Agree,4 – Agree,2 – Disagree,5 – Strongly Agree,4 – Agree,5 – Strongly Agree,5 – Strongly Agree,3 – Neutral,4 – Agree,5 – Strongly Agree,4 – Agree,Slow Pacing + High Precision (Slow & required exact timing),High Player Agency + Clear Goals (I chose my path & goals were clear),9,I liked the idea of the game and the objectives. I wish there were more levels ,The enemies ,Ice level was hard but I like the idea ,Yes I liked it ,I wouldn’t change anything ,Add music and more levels 
4/12/2026 16:00:41,4 – Agree,4 – Agree,1 – Strongly Disagree,5 – Strongly Agree,4 – Agree,4 – Agree,4 – Agree,2 – Disagree,3 – Neutral,5 – Strongly Agree,4 – Agree,Fast Pacing + High Precision (Fast & required exact timing),High Player Agency + Clear Goals (I chose my path & goals were clear),8,"It was fun once I got the hang of it but confusing at first. I think a tutorial level would be great. I also think in the story in the beginning, having a little ""E"" in the corner of the talk bubble to tell you what button to press to talk. I wasn't sure and kept hitting space bar and other buttons.",I love the ghost vision concept and graphics,the jump on the first level was very hard and I didn't know i could even throw my package like that. ,I liked it ,It might be cool to have a stamina bar where your sprint runs out to make it a little more challenging ,you could put a stamp counter in the level like: (2/13 collected). also i thought my packages health was my health for the first level i didn't realize. Really cool game overall once i figured it out but a tutorial in the beginning would be nice 
4/12/2026 16:27:16,4 – Agree,4 – Agree,5 – Strongly Agree,3 – Neutral,2 – Disagree,5 – Strongly Agree,5 – Strongly Agree,2 – Disagree,3 – Neutral,5 – Strongly Agree,3 – Neutral,Slow Pacing + High Precision (Slow & required exact timing),High Player Agency + Clear Goals (I chose my path & goals were clear),7,"Fun, but needs some polishment for movement anf graphics. The sliding on the snow felt unnatural and avatars didn't feel connected to the models","Momentum mechanic for recall was very interesting, I want to see more uses","Needs to present mechanics more step-by-step, everything is kind of expected from the start",2 avatars looked much more detailed than 3d models and colors didn't match,"Jump feels overpowered, one can just jump over enemies","Add count of collectibles during gameplay and some type of medalnor prize for getting all, like a hat for the character"
